Name,Price,Link
الأجندة الأمريكية ,105.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb215792-5229545&search=books
اليهود من جزيرة ال,210.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb257661-240580&search=books
الوقائع التاريخية ,384.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb270022-254610&search=books
الفتح 1453 ؛ فتح إ,420.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb257623-240542&search=books
الفتح 1453 ؛ فتح إ,420.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb257623-252253&search=books
هم من عربوا بنى هل,40.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb215685-5229444&search=books
صفحات مضيئة من تار,230.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb200487-5213669&search=books
حرب الثلاث سنوات 1,240.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb215627-5229392&search=books
"اعطنى حريتى ""ملحمة",250.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb215367-5229092&search=books
الرحلات الحجازية,90.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb215252-5228985&search=books
الوزارة فى افريقيا,140.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb215249-5228972&search=books
آثار ما قبل التاري,75.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb215161-5228901&search=books
كتاب الرحلة الحجاز,125.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb215141-5228966&search=books
الآريوسية في مصر ا,55.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb215024-5228754&search=books
قواعد كتابة البحث ,65.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb213245-5227045&search=books
نظم المعلومات الجغ,125.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb213543-5227482&search=books
دراسات فى حضارة ال,175.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb214998-5228718&search=books
قرن الرعب الأفريقي,63.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb214957-5228660&search=books
أيام الرشيد,99.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb214958-5228661&search=books
الفكر العسكري السا,408.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb255855-238694&search=books
الغذاء فى مصر عصر ,100.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb214737-5228553&search=books
المدارس في مصر في ,24.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb214676-5228527&search=books
أثر الاتجاهات الفك,378.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb279370-263661&search=books
تاريخ بلاد ما بين ,315.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb279368-263588&search=books
الكرد القيمرية ودو,315.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb279367-263552&search=books
أعيان البصرة في ال,315.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb279366-263624&search=books
تطورات ايران الداخ,315.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb279363-263660&search=books
إيران في عهد الاق ,315.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb279364-263622&search=books
تاريخ قضاة البصرة,630.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb279356-263691&search=books
الطريق إلى سايكس -,382.50 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb255761-238587&search=books
الشرق الأوسط الحدي,490.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb214641-5228458&search=books
صناعة الإنتخابات ف,315.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb214510-5228336&search=books
إحياء ذاكرة المصري,100.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb214381-5228209&search=books
"أقباط مصر "" التاري",100.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb214383-5228211&search=books
النزاع على السيادة,210.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb255903-238745&search=books
حضرموت حضارة لا تم,315.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb261016-244267&search=books
مشجرة الشريف علي ب,270.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb271221-255897&search=books
حضرموت حضارة لا تم,315.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb261016-275806&search=books
"كل رجال السويس "" م",60.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb214129-5228092&search=books
فلسفة التاريخ العث,49.50 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=egb214280-5228113&search=books
مقاربات نقدية في ت,351.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb258130-241067&search=books
القصر الأحمر,168.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb255031-237770&search=books
نجران .. جدلية الم,273.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb255032-237771&search=books
تاريخ أورشليم والب,357.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb279334-263723&search=books
تفريخ بني لادن ؛ أ,294.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb279330-263687&search=books
السلطان والتاريخ ؛,630.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb254711-237430&search=books
التجارة العربية وم,336.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb254712-237431&search=books
طرق القوافل التجار,336.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb254715-237434&search=books
الإسماعيليون ؛ تار,390.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb209104-237389&search=books
الانهيار المديد ؛ ,270.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb217947-237401&search=books
السلطة في الجزيرة ,331.80 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb223151-237416&search=books
مع العرب في التاري,180.60 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb220189-237419&search=books
الجهاديون في لبنان,270.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb162940-237366&search=books
الشيوعيون الأربعة ,240.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb170536-237367&search=books
فلسفة التاريخ ؛ مد,240.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb254584-237235&search=books
بين منشية يافا وجب,288.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb249170-230505&search=books
الفكر التاريخي بين,210.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb254347-236942&search=books
وصف تاريخي لتحريف ,180.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb254299-236893&search=books
الخبز في مصر العثم,204.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb254294-236888&search=books
الخبز في مصر العثم,168.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb254294-299422&search=books
الحميدي منهجه وموا,783.75 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390575-387945&search=books
مراجعة الكتب : ضرو,783.75 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390508-387876&search=books
دراسات أندلسية بأق,997.50 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390505-387873&search=books
دراسات أندلسية بأق,997.50 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390504-387872&search=books
دراسات في تاريخ ال,641.25 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390503-387871&search=books
التكوين التاريخي ل,"1,071.00 جنيه ",https://www.neelwafurat.com/itempage.aspx?id=lbb390389-387755&search=books
أم المآرب (العصا)؛,195.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390306-387667&search=books
طبريا العربية تحت ,600.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390353-387715&search=books
أوراق عراقية في حق,240.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390157-387500&search=books
القبائل الآرامية ف,510.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390153-387496&search=books
المبشر الأسباني ري,540.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390148-387491&search=books
الدلالات الرمزية ف,750.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390145-387488&search=books
العجائب والغرائب ف,540.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390144-387487&search=books
تطور الفكر التربوي,750.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390143-387486&search=books
التاريخ السياسي لل,600.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390142-387485&search=books
المخططات الصليبية ,540.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb390138-387481&search=books
تمكين الباحث من ال,300.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb389916-387249&search=books
المنهج الفريد في ا,240.00 جنيه ,https://www.neelwafurat.com/itempage.aspx?id=lbb389913-387246&search=books
