ISBN,goodreads_id,title,image,goodreads_link,publication_info,number_of_rattings,number_of_reviews,book_rate,number_of_5_stars_rating,number_of_4_stars_rating,number_of_3_stars_rating,number_of_2_stars_rating,number_of_1_stars_rating,author_name,author_link,author_no_of_books,author_followers,original_title,book_format,published,language,setting,all_contributors,number_of_editions,currently_reading,to_read,all_genres
9789927129551,60002403-anger-control,Anger Control,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1641115870i/60002403.jpg,https://www.goodreads.com/book/show/60002403-anger-control,"Published November 28, 2018",0 ratings,0 reviews,0.0,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),Madeleine Deny,https://www.goodreads.com/author/show/1194258.Madeleine_Deny,235 ,1 follower,,Paperback,"November 28, 2018",,,Madeleine Deny,Show all editions,,,
9789778200904,58742451--,سلسة سجلات القمر - سندر,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628593546i/58742451.jpg,https://www.goodreads.com/book/show/58742451--,"Published January 1, 2021",4 ratings,1 review,2.75,1 (25%),1 (25%),0 (0%),0 (0%),2 (50%),ماريسا ماير - ضحي صلاح,https://www.goodreads.com/author/show/21720742._,,,,"424 pages, Paperback","January 1, 2021 by كيان للنشر والتوزيع",Arabic,,ماريسا ماير - ضحي صلاح,Show all editions,1 person is currently reading,19 people want to read,
9789770932773,38356296,الصفعة,https://d15be2nos83ntc.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/38356296,"First published January 1, 2014",10 ratings,2 reviews,3.1,2 (20%),1 (10%),3 (30%),4 (40%),0 (0%),عادل شاهين,https://www.goodreads.com/author/show/13495280._,3 ,2 followers,,Paperback,"January 1, 2014",Arabic,,عادل شاهين,Show all 2 editions,2 people are currently reading,8 people want to read,
9789774903113,26165841,النهر يعض على ذيله,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440543304i/26165841.jpg,https://www.goodreads.com/book/show/26165841,"First published January 1, 2015",15 ratings,1 review,4.07,6 (40%),5 (33%),3 (20%),1 (6%),0 (0%),إسماعيل غزالي,https://www.goodreads.com/author/show/7507927._,10 ,42 followers,النهر يعض على ذيله,"600 pages, Paperback","January 1, 2015 by دار العين",Arabic,,إسماعيل غزالي,Show all editions,1 person is currently reading,61 people want to read,
9789773192136,25078010,ديتوكس,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1425572649i/25078010.jpg,https://www.goodreads.com/book/show/25078010,"First published January 1, 2012",89 ratings,19 reviews,3.13,11 (12%),27 (30%),26 (29%),13 (14%),12 (13%),Zuzana Brabcová,https://www.goodreads.com/author/show/1013640.Zuzana_Brabcov_,7 ,6 followers,,"256 pages, Paperback","January 24, 2015",Arabic,,"Zuzana Brabcová,خالد البلتاجي (ترجمة)",Show all 7 editions,3 people are currently reading,116 people want to read,"Czech Literature,Fiction"
9789948354680,52870611-regretted-never-won-t-ever,"Regretted Never, Won’t Ever",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1585753824i/52870611.jpg,https://www.goodreads.com/book/show/52870611-regretted-never-won-t-ever,"Published February 29, 2020",0 ratings,0 reviews,0.0,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),Tanvi Pravin Nagpure,https://www.goodreads.com/author/show/20177029.Tanvi_Pravin_Nagpure,,,,"32 pages, Paperback","February 29, 2020 by Austin Macauley Publishers FZE",English,,Tanvi Pravin Nagpure,Show all editions,,,
9789923132111,51605063,أسرار قوقعة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1582472302i/51605063.jpg,https://www.goodreads.com/book/show/51605063,"Published February 20, 2020",8 ratings,5 reviews,4.0,3 (37%),4 (50%),0 (0%),0 (0%),1 (12%),شهيرة منير الحسن,https://www.goodreads.com/author/show/20048172._,,,,"247 pages, Hardcover","February 20, 2020 by الآن ناشرون و موزعون",Arabic,,شهيرة منير الحسن,Show all editions,,13 people want to read,
9782843091230,93884242,الملاذ,https://d15be2nos83ntc.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/93884242,,0 ratings,0 reviews,0.0,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),unknown author,https://www.goodreads.com/author/show/22294257.unknown_author,3m ,9 followers,,"347 pages, Unknown Binding",دار المدى,Arabic,,unknown author,Show all editions,,,
9789933350253,22391819,اختراع موريل,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1424074101i/22391819.jpg,https://www.goodreads.com/book/show/22391819,"First published January 1, 1940","21,847 ratings","2,070 reviews",4.04,"7,864 (35%)","8,471 (38%)","4,212 (19%)","1,027 (4%)",273 (1%),Adolfo Bioy Casares,https://www.goodreads.com/author/show/3424060.Adolfo_Bioy_Casares,204 ,662 followers,La invención de Morel,"112 pages, Hardcover",منشورات الجمل,Arabic,,"Adolfo Bioy Casares,أحمد يماني (Translator)",Show all 149 editions,445 people are currently reading,24.5k people want to read,"Fiction,Science Fiction,Classics,Literature,Latin American,Spanish Literature,Fantasy"
9789957618582,69167412-methods-of-teaching-english,Methods of Teaching English,https://d15be2nos83ntc.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/69167412-methods-of-teaching-english,,5 ratings,0 reviews,3.4,1 (20%),2 (40%),1 (20%),0 (0%),1 (20%),Muhammad Ali Alkhuli,https://www.goodreads.com/author/show/8414393.Muhammad_Ali_Alkhuli,9 ,7 followers,,"146 pages, Paperback",Al Manhal,English,,Muhammad Ali Alkhuli,Show all 2 editions,,20 people want to read,
9786144862476,58744963,مشانق العتمة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628623093i/58744963.jpg,https://www.goodreads.com/book/show/58744963,"First published June 18, 2021",5 ratings,3 reviews,4.6,3 (60%),2 (40%),0 (0%),0 (0%),0 (0%),يسري الغول,https://www.goodreads.com/author/show/6861415._,10 ,32 followers,مشانق العتمة,"220 pages, Paperback","July 15, 2021 by المؤسسة العربية للدراسات والنشر",Arabic,,يسري الغول,Show all editions,1 person is currently reading,3 people want to read,
9789775079695,23003768,الأم,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408569404i/23003768.jpg,https://www.goodreads.com/book/show/23003768,"First published January 1, 1906","15,717 ratings","1,219 reviews",3.96,"5,353 (34%)","5,953 (37%)","3,229 (20%)",865 (5%),317 (2%),Maxim Gorky,https://www.goodreads.com/author/show/3072763.Maxim_Gorky,"1,185 ","1,515 followers",Мать,"317 pages, Paperback",فاروس للنشر والتوزيع,Arabic,,"Maxim Gorky,مكسيم غوركي",Show all 1005 editions,"1,508 people are currently reading",17.6k people want to read,"Fiction,Classics,Russia,Russian Literature,Novels,Literature,Historical Fiction"
9786144401507,59630701,خمسٌ وعشرون,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1636976340i/59630701.jpg,https://www.goodreads.com/book/show/59630701,"Published January 1, 2019",3 ratings,0 reviews,3.33,1 (33%),0 (0%),1 (33%),1 (33%),0 (0%),خولة محسن سليمان,https://www.goodreads.com/author/show/22000872._,,,,"124 pages, Paperback","January 1, 2019 by أثر للنشر والتوزيع",Arabic,,خولة محسن سليمان,Show all editions,,,
9789953895956,40016944,باولا,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1525178319i/40016944.jpg,https://www.goodreads.com/book/show/40016944,"First published January 1, 1994","42,117 ratings","3,014 reviews",4.17,"18,982 (45%)","14,079 (33%)","6,821 (16%)","1,652 (3%)",583 (1%),Isabel Allende,https://www.goodreads.com/author/show/2238.Isabel_Allende,179 ,33.4k followers,Paula,"495 pages, Paperback","April 20, 2018 by دار الآداب",Arabic,,"Isabel Allende,صالح علماني (Translator)",Show all 174 editions,"2,424 people are currently reading",33.1k people want to read,"Nonfiction,Memoir,Biography,Spanish Literature,Biography Memoir,Magical Realism,Literature"
9786038241172,39313676,يوسف طفل اللوكيمياء,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1521379652i/39313676.jpg,https://www.goodreads.com/book/show/39313676,"Published January 1, 2018",2 ratings,1 review,5.0,2 (100%),0 (0%),0 (0%),0 (0%),0 (0%),رقية أحمد,https://www.goodreads.com/author/show/17834137._,,,,"80 pages, Paperback","January 1, 2018 by مركز الادب العربي للنشر والتوزيع",Arabic,,رقية أحمد,Show all editions,,2 people want to read,
9770911631,5781686,دفاتر التدوين : الدفتر الخامس: نثار المحو,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1227052808i/5781686.jpg,https://www.goodreads.com/book/show/5781686,"First published January 1, 2005",49 ratings,2 reviews,4.06,19 (38%),19 (38%),8 (16%),1 (2%),2 (4%),جمال الغيطاني,https://www.goodreads.com/author/show/1479293._,94 ,"1,906 followers",دفاتر التدوين : الدفتر الخامس: نثار المحو ,397 pages,"January 1, 2005 by Dar El Shorouk",Arabic,,"جمال الغيطاني,Gamal al-Ghitani",Show all 6 editions,2 people are currently reading,155 people want to read,Literature
9789948225867,24393902,(مطر لشجر الذاكرة (أوراق من سيرة عمر الطلياني,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1420814830i/24393902.jpg,https://www.goodreads.com/book/show/24393902,"First published January 1, 2015",20 ratings,6 reviews,2.65,0 (0%),5 (25%),6 (30%),6 (30%),3 (15%),عبدالله عبيد,https://www.goodreads.com/author/show/5820291._,5 ,3 followers,(مطر لشجر الذاكرة(أوراق من سيرة عمر الطلياني,111 pages,"January 1, 2015 by دار مدارك للنشر",Arabic,,عبدالله عبيد,Show all 2 editions,,19 people want to read,
9789923400920,56254243,الجماعة الغامضة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1607734194i/56254243.jpg,https://www.goodreads.com/book/show/56254243,"First published January 1, 1983",235 ratings,19 reviews,4.01,89 (37%),82 (34%),46 (19%),14 (5%),4 (1%),Maurice Blanchot,https://www.goodreads.com/author/show/62478.Maurice_Blanchot,125 ,471 followers,La Communauté inavouable,"92 pages, Paperback","January 1, 2021 by دار خطوط وظلال للنشر والتوزيع",Arabic,,"Maurice Blanchot,موريس بلانشو,محمد مزيان (المترجم)",Show all 21 editions,21 people are currently reading,526 people want to read,"Philosophy,Politics,Theory,Nonfiction,France"
9789953821047,13597239,المثلث السري: فرسان هيكل يسوع الخمسة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1334140491i/13597239.jpg,https://www.goodreads.com/book/show/13597239,"First published October 16, 2009",22 ratings,4 reviews,4.05,7 (31%),11 (50%),3 (13%),0 (0%),1 (4%),ديدييه كونفار,https://www.goodreads.com/author/show/5815241._,2 ,3 followers,,"299 pages, Paperback","October 16, 2009 by دار الخيال للطباعة و النشر",Arabic,,"ديدييه كونفار,سليم طنوس (ترجمة)",Show all editions,,63 people want to read,
978977,978977.Dracula_Romeo_And_Juliet,Dracula/Romeo And Juliet,https://d15be2nos83ntc.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/978977.Dracula_Romeo_And_Juliet,,9 ratings,1 review,3.44,3 (33%),1 (11%),3 (33%),1 (11%),1 (11%),Adam Grant,https://www.goodreads.com/author/show/161527.Adam_Grant,30 ,89 followers,Dracula/Romeo and Juliet (Read 180),,,,,Adam Grant,Show all editions,,11 people want to read,
9789774212782,10074498,كرسي النسر,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1303942145i/10074498.jpg,https://www.goodreads.com/book/show/10074498,"First published January 1, 2003","1,597 ratings",191 reviews,3.92,498 (31%),611 (38%),369 (23%),93 (5%),26 (1%),Carlos Fuentes,https://www.goodreads.com/author/show/1367127.Carlos_Fuentes,277 ,"1,420 followers",La silla del águila,"366 pages, Paperback","December 1, 2010 by الهيئه المصرية العامة للكتاب",Arabic,Mexico,"Carlos Fuentes,كارلوس فوينتس,مروة رزق (ترجمة)",Show all 45 editions,117 people are currently reading,"2,109 people want to read","Fiction,Novels,Spanish Literature,Literature,Politics,Historical Fiction,Latin American Literature"
